1.000000000000000056e-01 -1.949422418354836095e+00 1.938698830006302170e-03 9.749467774880162807e-01 2.015015617939930337e-04
2.000000000000000111e-01 -1.897620005671222687e+00 2.072914455608642747e-03 9.491771822845186390e-01 4.469953933217141184e-04
2.999999999999999889e-01 -1.843740285516070720e+00 2.197577869944566942e-03 9.225337578219002799e-01 7.493877141036738845e-04
4.000000000000000222e-01 -1.786885669708276669e+00 2.247386414194751502e-03 8.950905540501984392e-01 8.801480509809667119e-04
5.000000000000000000e-01 -1.729587588192817549e+00 2.288802660569189129e-03 8.662338036411334485e-01 1.159808279577845269e-03
5.999999999999999778e-01 -1.668942753972452175e+00 2.433492559660176049e-03 8.347473337373075841e-01 1.439771531361137445e-03
6.999999999999999556e-01 -1.601764628910857802e+00 2.958139377967968376e-03 8.007062825899868841e-01 1.869193790084988649e-03
7.999999999999999334e-01 -1.527270689512374879e+00 3.182305013224584912e-03 7.613402426903751463e-01 2.409327745502704010e-03
8.999999999999999112e-01 -1.440015998470696612e+00 3.566285790785116410e-03 7.103400699361204218e-01 3.794574250762301326e-03
9.999999999999998890e-01 -1.332461823123375799e+00 4.994519707675283172e-03 6.321753213500965751e-01 8.468308401201109573e-03
1.099999999999999867e+00 -1.186285444386716126e+00 6.066236974035875418e-03 4.887423271422329796e-01 1.780582359426128095e-02
1.199999999999999956e+00 -1.051671523192621471e+00 5.106417149312406437e-03 3.511458381906054638e-01 1.691403548884537478e-02
1.300000000000000044e+00 -9.368666766297887305e-01 3.969611416683210998e-03 2.554825135733437280e-01 1.088698115091865475e-02
1.399999999999999911e+00 -8.489548706175644721e-01 3.174272991821841354e-03 2.041726780682107667e-01 7.340791326481043745e-03
1.500000000000000000e+00 -7.784637419902058486e-01 2.559972881625337173e-03 1.743979885377623107e-01 5.121325208385874017e-03
1.599999999999999867e+00 -7.142022784234595134e-01 2.170086141202974984e-03 1.521750737008402132e-01 3.730948890480162254e-03
1.699999999999999956e+00 -6.648921490183833383e-01 1.842212923919265069e-03 1.395041071805403488e-01 2.958916309109294387e-03
1.800000000000000044e+00 -6.215731197921469109e-01 1.637611041522553162e-03 1.281167608815812486e-01 2.346201042498751495e-03
1.899999999999999911e+00 -5.816045477915090522e-01 1.425377532900514539e-03 1.193883822225574737e-01 1.994549714704123549e-03
2.000000000000000000e+00 -5.467361376018183838e-01 1.207562547768201155e-03 1.117845109134011222e-01 1.669737312535477664e-03
2.099999999999999645e+00 -5.179840047319833607e-01 1.127258646223762342e-03 1.081028576395303142e-01 1.475542694351866194e-03
2.199999999999999734e+00 -4.895550424899195452e-01 1.020136940278473401e-03 1.017581395735538130e-01 1.297139076456452602e-03
2.299999999999999822e+00 -4.663351674991481621e-01 8.947960190808361977e-04 9.937858024714996130e-02 1.133603935331834074e-03
2.399999999999999911e+00 -4.438296635595856965e-01 8.179219654615569376e-04 9.633738781877540513e-02 1.034302099873511335e-03
2.500000000000000000e+00 -4.227563314976355291e-01 7.349743489558236559e-04 9.342318264033859510e-02 9.408966104035667612e-04
